iter	Passed	Remaining
0	16	9806
1	31	9554
2	47	9464
3	63	9474
4	80	9614
5	96	9562
6	114	9671
7	129	9579
8	146	9594
9	160	9480
10	175	9381
11	189	9296
12	206	9313
13	221	9269
14	238	9297
15	257	9381
16	275	9454
17	292	9445
18	309	9455
19	327	9506
20	344	9509
21	362	9512
22	379	9513
23	396	9519
24	413	9508
25	429	9492
26	448	9510
27	466	9525
28	484	9538
29	501	9519
30	518	9514
31	535	9496
32	553	9503
33	571	9507
34	589	9523
35	606	9508
36	624	9509
37	640	9479
38	656	9448
39	672	9408
40	690	9412
41	707	9404
42	723	9373
43	740	9356
44	756	9328
45	775	9335
46	792	9319
47	811	9333
48	830	9334
49	848	9328
50	867	9334
51	883	9314
52	900	9290
53	916	9270
54	933	9246
55	952	9248
56	969	9231
57	986	9223
58	1003	9203
59	1021	9197
60	1039	9185
61	1057	9172
62	1076	9176
63	1093	9158
64	1113	9161
65	1131	9155
66	1149	9143
67	1166	9127
68	1183	9110
69	1203	9109
70	1219	9086
71	1238	9084
72	1256	9071
73	1274	9060
74	1294	9059
75	1312	9050
76	1331	9046
77	1349	9029
78	1366	9014
79	1385	9003
80	1402	8987
81	1418	8961
82	1438	8958
83	1455	8943
84	1473	8929
85	1491	8912
86	1508	8894
87	1527	8888
88	1545	8873
89	1563	8862
90	1582	8853
91	1601	8844
92	1619	8829
93	1637	8815
94	1654	8793
95	1672	8780
96	1691	8770
97	1707	8747
98	1724	8727
99	1743	8719
100	1761	8704
101	1779	8690
102	1798	8679
103	1819	8675
104	1836	8659
105	1855	8646
106	1871	8624
107	1891	8618
108	1911	8608
109	1929	8593
110	1948	8583
111	1966	8567
112	1984	8554
113	2003	8540
114	2021	8524
115	2038	8503
116	2057	8493
117	2077	8484
118	2096	8474
119	2112	8451
120	2131	8436
121	2149	8423
122	2167	8404
123	2188	8401
124	2205	8382
125	2223	8365
126	2241	8349
127	2260	8334
128	2278	8320
129	2298	8310
130	2317	8296
131	2337	8286
132	2355	8272
133	2374	8258
134	2392	8242
135	2411	8228
136	2428	8206
137	2448	8195
138	2465	8176
139	2482	8157
140	2501	8141
141	2517	8120
142	2536	8106
143	2555	8093
144	2574	8079
145	2593	8064
146	2611	8049
147	2629	8030
148	2647	8012
149	2665	7995
150	2684	7983
151	2702	7964
152	2720	7947
153	2737	7929
154	2755	7910
155	2774	7897
156	2791	7875
157	2809	7859
158	2827	7843
159	2845	7825
160	2864	7811
161	2882	7793
162	2901	7778
163	2921	7766
164	2938	7746
165	2956	7729
166	2973	7708
167	2991	7692
168	3007	7671
169	3025	7652
170	3044	7637
171	3063	7623
172	3081	7605
173	3098	7585
174	3115	7567
175	3133	7548
